User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
wordplayer(워플),@wordplay4me,2020-07-01T08:04:13.000Z,"사샤는 주문도 받고 제조도 하지만 하루에 50개 한정으로 판매되는 디저트들을 진짜 맛있고, 예쁘게 만들었다. 감히 이걸 먹어도 되나 싶을 정도로 그가 만든 베이커리들은 인간들이 먹기 전 카메라에게 양보한 덕분에 순식간에 유명해졌다.",1,,
-,@kise_uro27_only,2020-07-01T08:00:57.000Z,콧 노래를 흥얼이며 들뜬 발걸음을 옮기는 키세 료타가 잠시 베이커리에 들러 초코 케이크를 사는 오후 5시.,,,
"한블영블
리틀언데드",@lil_undead_hg,2020-07-01T07:56:49.000Z,"Replying to 
@ozi_akdmf저도요... 재스퍼 베이커리 짱일것... ㅋㅋㅋㅋㅋㅋ 아 너무웃기다 그럴게 말하면 더 싸줄 것 같다구요 나눠먹어요~ 하고 ㅋㅋㅋㅋ 재스퍼 베이커리 산 타르트 파이 케이크 식사빵...",,,
덕중,@duckjung_0,2020-07-01T07:29:54.000Z,"Replying to 
@shallalala2019세상에 베이커리 썰 덕분에 샬라님과 만날 수 있었군요 ㅠㅠㅠ 여러모로 감사한 썰이에요 ",1,,1
아무,@amootalk,2020-07-01T07:10:43.000Z,누가나한테 울동네 베이커리 가나슈식빵이나 파리바게트/뚜레쥬르 하다못해 편의점에 파는 초코소라빵 사다줬으면,,,1
김정현(Kelly),@rhctnslskfk,2020-07-01T06:57:32.000Z,"#김포카페 #김포하성카페 #카페진정성 #태산가족공원카페 
-
평소에 가보고 싶었던 카페에 친구와 함께 왔다.
베이커리도, 음료도 모두 맛있었고, 무엇보다 느긋하게 힐링할 수 있어서 더 좋았던듯♡
-
출산 후엔 힘드니 미리미리(?) 다녀두기 ㅋ ㅋ https://instagram.com/p/CCFxjkQgNuhH2IASAF7JkdkLJcbphTbVSUx1fg0/?igshid=1hnx066n2qmso…",,,
공재 ᐖ,@Gongjae_C,2020-07-01T05:48:43.000Z,"목요일날 문의 DM 넣었는데 월요일날 답장주고 사진 상 마카롱은 반듯하고 예쁜데 기울고 몇 개는 깨져서 오고 배송비도 오천원인데 포장상태도ㅋㅋ 실물모양도 그리 예쁘지도 않고; 그렇다고 맛있지도 않았음...
집 앞 베이커리에서 파는 요일 한정판 마카롱이 더 맛있었음 ㅠ",,,
노랑고양이,@skyflavor_,2020-07-01T04:52:00.000Z,연희동 재인이랑 아우어베이커리랑 코코로카라랑 어글리베이커리랑 호라이즌16 가고싶어,,,
지브로,@jibebonejuseyo,2020-07-01T04:51:25.000Z,나의 냉동실에는 이즈니 베이커리의 무화과 파운드케잌도 있다. ,,,3
랜덤쳇팅채팅어플 즉석만남사이트 엔조이즉석만남어플,@8b05t58tgmwp6xk,2020-07-01T04:40:15.000Z,"∩
섹ㅅㅣ분ㅅㅜ＜

#19성인ㅊㅐ팅ㅇㅓ플ㅊㅜ천
#울산중ㄱㅜ즉석만남ㅅㅏㅇㅣㅌㅡ

←∝
 https://fl5ryh2d7rf5.launchaco.com

밀ㄷㅐ집ㅂㅔㅇㅣㅋㅓㄹㅣ™∽€∀",,,
(slow)ㅁiㅁi송ㅇi¹⁰¹³,@mimisongyi,2020-07-01T04:32:00.000Z,"와 두 번 만에 눈썹 이쁘게 그리신 엘리님 베이커리 카페에서 좋은 시간 보내고 계시겠네요
 행복한 하루되세요",,,
봄이라서 행복한 미사키(데이빗 M. 류스케),@Okusaki25,2020-07-01T04:19:02.000Z,애프터글로우 종이컵이랑 야마부키 베이커리 포장지 다 들고 옴..,,,
이천우 자캐 대사봇,@CW_char_ment,2020-07-01T03:41:30.000Z,"비싼 과자같은건 나랑 어울린다고 생각하지 않아서 못 먹지만, 망가진건 어딘가… 먹어도 괜찮을 것 같다고 생각하게 돼.
- 위저드 베이커리:Re, 은 빛소리",,,
이천우 자캐 대사봇,@CW_char_ment,2020-07-01T02:41:31.000Z,"무서워하면 얘네도 그걸 알아. 네가 친하게 다가가줘야 얘네도 마음을 열어주고. 그렇게 친해지는거야.
- 위저드 베이커리:Re, 은 빛소리",,,
굴러가는곰,@_Rolling_Bear,2020-07-01T01:46:57.000Z,근데 의외로 유명작가 비인기작품이나 소품은 싸게 나온게 몇 있어서 프린트베이커리 같은데서 비싼돈주고 레플리카를 사느니 차라리 이쪽이 낫겠음,1,,
찡찡토끼,@unquetzal,2020-07-01T01:38:02.000Z,"용님은 부인도 용 아이들도 부모 닮아서 용이라 잔소리할 사람이 없고 심심하니까 사촌동생중 제일 만만한 송사리를 들볶으면 행복함 병주고 약주는게 취미임 여름특선 잔소리 실컷하고 애플망빙 사주고 잘난척 또 실컷 하고 베이커리도 다 사주세요 충성충성 
 돈내고 하는 잔소리 대환영",,,
구제불능호더,@hoarding_4_life,2020-07-01T00:45:26.000Z,남자친구가 아티잔 베이커리에서 빵 사먹을 때 별 머..맛은 있지만 굳이..빵은 빵이지 머 하면서 테스코 빵 사먹을 때 남자친구가 경악하면서 저건 이탈리언두 아니여 하면서 치를 떨었던거 기억남 앜아 웃겨 ㅋㅋ  ㅠㅠㅠ,,,
✿,@For____YouU,2020-07-01T00:14:31.000Z,"그 때 되감을 수 없었던 시간은 품에서 놓친 실꾸리처럼 그대로 말없이 풀어져 나갔다.
-구 병모,「위저드 베이커리」",,,
